subject_count,corr,top_k,tree_count,folds_evaluated,selected_features_mean,cold_total_mean,warm_total_mean,load_time_mean,cache_size_mb_mean,time_saved_mean,speedup_mean,mb_per_second_saved_mean,predictions_match_rate
30,,,200,3,149.0,3.0756738980611167,0.4389013449350993,0.35649681091308594,30.46381664276123,2.636772553126017,7.0124920145077185,11.552781815736578,1.0
30,,,400,3,149.0,6.017847299575806,0.8613710403442383,0.7446513970692953,60.89134724934896,5.156476259231567,6.9866955166521585,11.808353585855373,1.0
128,,30.0,25,3,30.0,2.028968413670858,0.4929523468017578,0.22525294621785483,20.376627604166668,1.5360160668690999,4.1159204222504435,13.26734066476007,1.0
128,,30.0,50,3,30.0,3.370030482610067,0.7426021893819174,0.4572749137878418,40.70262495676676,2.6274282932281494,4.539371625643032,15.491677443520317,1.0
128,,30.0,100,3,30.0,6.030895074208577,1.2283329963684082,0.9317216078440348,81.39008903503418,4.802562077840169,4.910707916640521,16.947917757035018,1.0
128,,30.0,200,3,30.0,11.372591018676758,2.126412868499756,1.8198649883270264,162.84444300333658,9.246178150177002,5.348709325595291,17.61301654809462,1.0
128,,30.0,400,3,30.0,22.08843421936035,3.9531663258870444,3.5949368476867676,325.65716139475506,18.13526789347331,5.587719514732424,17.957431295927506,1.0
128,,50.0,25,3,50.0,2.1858959992726645,0.4628169536590576,0.18957996368408203,17.18568706512451,1.7230790456136067,4.724819284158392,9.974394809232493,1.0
128,,50.0,50,3,50.0,3.5309671560923257,0.6411319573720297,0.3726809024810791,34.33619054158529,2.8898351987202964,5.507915509251821,11.89097042805198,1.0
128,,50.0,100,3,50.0,6.226921399434407,1.0332845052083333,0.7496764659881592,68.64803632100423,5.193636894226074,6.0281507157659915,13.220569307192662,1.0
128,,50.0,200,3,50.0,12.049336353937784,1.830854098002116,1.528299331665039,137.27884324391684,10.218482255935669,6.581417946427268,13.43479201678853,1.0
128,,50.0,400,3,50.0,24.72384738922119,3.8255534172058105,3.4485326608022056,274.4937270482381,20.89829397201538,6.4697633702329655,13.24221984335878,1.0
128,,,25,3,149.0,3.197107712427775,0.2804413636525472,0.21628761291503906,16.278626759847004,2.916666348775228,11.431485596696772,5.584887941573025,1.0
128,,,50,3,149.0,4.985407670338948,0.4761519432067871,0.3996305465698242,32.578301111857094,4.509255727132161,10.514512623438103,7.228471865718668,1.0
128,,,100,3,149.0,8.450612862904867,0.8727835814158121,0.7882540225982666,65.06918907165527,7.577829281489055,9.743338465757443,8.596140257374325,1.0
128,,,200,3,149.0,16.936159054438274,1.7643118699391682,1.6652336120605469,130.15853786468506,15.171847184499105,9.608436231906646,8.58909425127427,1.0
128,,,400,3,149.0,35.29229108492533,3.9001351992289224,3.749876022338867,260.1499064763387,31.39215588569641,9.063925571965646,8.287692138694538,1.0
