held_out_subject,n_train,n_test,n_selected_features,corr,top_k,cold_total_time_seconds,cold_train_time_seconds,warm_total_time_seconds,warm_cache_load_time_seconds,feature_selection_time_seconds,cache_write_time_seconds,cache_size_mb,time_saved_seconds,speedup_cold_vs_warm,mb_per_second_saved,accuracy_cold,accuracy_warm,predictions_match,subject_count,tree_count
Subject_11,28501,984,50,,50.0,0.5138206481933594,0.283113956451416,0.13072586059570312,0.04114270210266113,0.057374000549316406,0.13997626304626465,4.014688491821289,0.38309478759765625,3.9305202953106306,10.47962181108478,0.8252032520325203,0.8252032520325203,True,30,25
Subject_1,28571,914,50,,50.0,0.8029687404632568,0.43221473693847656,0.1810305118560791,0.08295726776123047,0.06261587142944336,0.2727034091949463,7.966039657592773,0.6219382286071777,4.435543667365998,12.80840972813749,0.7483588621444202,0.7483588621444202,True,30,50
Subject_10,28492,993,50,,50.0,0.8004515171051025,0.43331432342529297,0.16605567932128906,0.07778286933898926,0.056267499923706055,0.2765626907348633,7.781188011169434,0.6343958377838135,4.82038025062887,12.265509241599204,0.7673716012084593,0.7673716012084593,True,30,50
Subject_11,28501,984,50,,50.0,0.7864990234375,0.4096696376800537,0.17792630195617676,0.08575057983398438,0.058152198791503906,0.28196239471435547,8.047773361206055,0.6085727214813232,4.420364020330252,13.224012639963581,0.8160569105691057,0.8160569105691057,True,30,50
Subject_1,28571,914,50,,50.0,1.3980951309204102,0.7345459461212158,0.32481980323791504,0.20843100547790527,0.05427074432373047,0.5524437427520752,15.959583282470703,1.0732753276824951,4.304217652322054,14.869980582645047,0.7483588621444202,0.7483588621444202,True,30,100
Subject_10,28492,993,50,,50.0,1.4012081623077393,0.724686861038208,0.29074692726135254,0.17643332481384277,0.060307979583740234,0.5621981620788574,15.555350303649902,1.1104612350463867,4.8193395387054,14.008008395718665,0.7673716012084593,0.7673716012084593,True,30,100
Subject_11,28501,984,50,,50.0,1.453601598739624,0.7358829975128174,0.3163144588470459,0.1948244571685791,0.06235980987548828,0.6007022857666016,16.06554889678955,1.1372871398925781,4.595432039489899,14.12620290273133,0.818089430894309,0.818089430894309,True,30,100
Subject_1,28571,914,50,,50.0,2.7704155445098877,1.386002779006958,0.52305006980896,0.38347649574279785,0.06016802787780762,1.1915888786315918,31.901870727539062,2.2473654747009277,5.296654573665884,14.19523040941281,0.7472647702407003,0.7472647702407003,True,30,200
Subject_10,28492,993,50,,50.0,2.664361000061035,1.3531014919281006,0.5193593502044678,0.3808286190032959,0.05996990203857422,1.1733925342559814,31.071533203125,2.1450016498565674,5.1300915233587245,14.485552123096362,0.771399798590131,0.771399798590131,True,30,200
Subject_11,28501,984,50,,50.0,2.7129225730895996,1.4040195941925049,0.5262298583984375,0.3954017162322998,0.05207991600036621,1.1780645847320557,32.11409854888916,2.186692714691162,5.155394605213559,14.686150611438242,0.8191056910569106,0.8191056910569106,True,30,200
Subject_1,28571,914,50,,50.0,5.1516358852386475,2.6568822860717773,0.9811089038848877,0.7979519367218018,0.060247182846069336,2.3152108192443848,63.707496643066406,4.17052698135376,5.2508298159763545,15.275646681558419,0.75054704595186,0.75054704595186,True,30,400
Subject_10,28492,993,50,,50.0,5.148273229598999,2.6674749851226807,0.9429857730865479,0.7632014751434326,0.057952880859375,2.3152811527252197,62.084540367126465,4.205287456512451,5.459544965082403,14.76344744780294,0.7724068479355488,0.7724068479355488,True,30,400
Subject_11,28501,984,50,,50.0,5.2071616649627686,2.64943265914917,0.9786064624786377,0.8061227798461914,0.059224843978881836,2.3811874389648438,64.18442058563232,4.228555202484131,5.320996605493434,15.178806356347478,0.8211382113821138,0.8211382113821138,True,30,400
Subject_1,28571,914,149,,,0.5967075824737549,0.4089524745941162,0.08658480644226074,0.0413823127746582,0.007554531097412109,0.142869234085083,3.83554744720459,0.5101227760314941,6.891596886246671,7.51887119615257,0.7921225382932167,0.7921225382932167,True,30,25
Subject_10,28492,993,149,,,0.591883659362793,0.40756869316101074,0.08345842361450195,0.03532767295837402,0.008264541625976562,0.13723492622375488,3.7265310287475586,0.508425235748291,7.0919582916726185,7.32955558994415,0.770392749244713,0.770392749244713,True,30,25
Subject_11,28501,984,149,,,0.6016771793365479,0.41410040855407715,0.08594417572021484,0.039515018463134766,0.00841069221496582,0.1415247917175293,3.8437910079956055,0.515733003616333,7.000790621289628,7.453063854829621,0.8313008130081301,0.8313008130081301,True,30,25
Subject_1,28571,914,149,,,0.9163384437561035,0.6089327335357666,0.1298818588256836,0.08374404907226562,0.006560802459716797,0.26723670959472656,7.671748161315918,0.7864565849304199,7.055168843756196,9.754827295386763,0.7899343544857768,0.7899343544857768,True,30,50
Subject_10,28492,993,149,,,0.9150245189666748,0.6076169013977051,0.12061405181884766,0.07884359359741211,0.007514238357543945,0.26606011390686035,7.451183319091797,0.7944104671478271,7.586384050350667,9.37951301906153,0.7643504531722054,0.7643504531722054,True,30,50
Subject_11,28501,984,149,,,0.9397003650665283,0.6212880611419678,0.11804842948913574,0.07457852363586426,0.005260944366455078,0.2747833728790283,7.700630187988281,0.8216519355773926,7.960295356178466,9.372131744053986,0.8353658536585366,0.8353658536585366,True,30,50
Subject_1,28571,914,149,,,1.6151723861694336,1.0199124813079834,0.2362203598022461,0.1791675090789795,0.008041858673095703,0.5435993671417236,15.394312858581543,1.3789520263671875,6.837566361856315,11.163776958316275,0.7888402625820569,0.7888402625820569,True,30,100
Subject_10,28492,993,149,,,1.6545166969299316,1.0700571537017822,0.22271108627319336,0.1703188419342041,0.006512880325317383,0.5237281322479248,14.901968002319336,1.4318056106567383,7.428982205674229,10.407815063306062,0.7613293051359517,0.7613293051359517,True,30,100
Subject_11,28501,984,149,,,1.600844144821167,1.0260353088378906,0.2278308868408203,0.1622617244720459,0.008372306823730469,0.5219540596008301,15.405558586120605,1.3730132579803467,7.026457944394679,11.220254791116606,0.8394308943089431,0.8394308943089431,True,30,100
Subject_1,28571,914,149,,,3.098299980163574,1.9121601581573486,0.4465179443359375,0.3610520362854004,0.008418798446655273,1.0773136615753174,30.772841453552246,2.6517820358276367,6.9388028397635235,11.604589305526336,0.799781181619256,0.799781181619256,True,30,200
